vi,ji,e,v,k_R,k_Rerr,k_Q,k_Qerr,P0
0.0,0,25000.0,8.0,2.0955472389567397e-13,7.652051111768954e-14,6.203208418436514e-13,1.4982538569967749e-13,23.536618685764555
0.0,0,25000.0,9.0,1.4230687809046394e-13,6.254789186888555e-14,3.4733021050135435e-13,1.1023042804788266e-13,23.536618685764555
0.0,0,25000.0,10.0,1.197068466082557e-13,5.2967531062692275e-14,2.565244436062915e-13,9.207505779482852e-14,23.536618685764555
0.0,0,25000.0,11.0,8.363734399051569e-14,4.283137956837346e-14,1.2376100104059565e-13,5.818152841685802e-14,23.536618685764555
0.0,0,25000.0,12.0,8.674341112922699e-14,4.515731705196963e-14,6.46857795156131e-14,3.972232512156508e-14,23.536618685764555
0.0,0,25000.0,13.0,5.697148460368956e-14,3.6973798943412126e-14,3.6191659531312826e-14,2.95018251137248e-14,23.536618685764555
0.0,0,25000.0,14.0,2.7633408060696794e-14,2.0827281782385795e-14,1.2793397270288989e-14,1.2793258644956825e-14,23.536618685764555
0.0,0,25000.0,15.0,5.335656736157767e-15,5.335601765373319e-15,1.6606461696400735e-14,1.660628420013689e-14,23.536618685764555
0.0,0,25000.0,16.0,0.0,0.0,0.0,0.0,23.536618685764555
0.0,0,25000.0,17.0,0.0,0.0,0.0,0.0,23.536618685764555
0.0,0,25000.0,18.0,0.0,0.0,0.0,0.0,23.536618685764555
0.0,0,25000.0,19.0,0.0,0.0,0.0,0.0,23.536618685764555
0.0,0,25000.0,20.0,0.0,0.0,0.0,0.0,23.536618685764555
0.0,0,30000.0,0.0,1.21214855956466e-11,1.42245200854067e-12,2.3073756835532512e-09,2.591638345034441e-11,25.783073963181685
0.0,0,30000.0,1.0,1.7096581969228029e-12,6.609192610011511e-13,1.0047850441018075e-09,2.499005129529468e-11,25.783073963181685
0.0,0,30000.0,2.0,1.5534700524082377e-12,6.730216582062543e-13,5.247961073846958e-10,1.6442156753502418e-11,25.783073963181685
0.0,0,30000.0,3.0,1.090114931174273e-12,5.250707148721724e-13,3.1783109088191875e-10,1.1646216126034325e-11,25.783073963181685
0.0,0,30000.0,4.0,1.0455865626175205e-12,4.793587491325967e-13,1.7728523309301454e-10,8.066094473402804e-12,25.783073963181685
0.0,0,30000.0,5.0,4.818897247890187e-13,2.628274863810708e-13,7.751411765105561e-11,4.956897318694812e-12,25.783073963181685
0.0,0,30000.0,6.0,4.4523332640173945e-13,3.2540239223175166e-13,6.844250306515088e-12,1.3924909327752756e-12,25.783073963181685
